step,train_loss,epoch,val_acc_node,val_loss
49,4.529142379760742,0,,
99,4.748685836791992,0,,
149,4.743683815002441,0,,
199,4.451157093048096,0,,
249,4.747973442077637,0,,
299,4.686670780181885,0,,
349,4.484816074371338,0,,
399,4.566935062408447,0,,
449,4.577298164367676,0,,
499,4.251158714294434,0,,
549,4.502315521240234,0,,
599,4.217225551605225,0,,
649,4.689916610717773,0,,
699,4.747898578643799,0,,
749,4.751158714294434,0,,
799,4.7471208572387695,0,,
849,4.751158714294434,0,,
899,4.751159191131592,0,,
949,4.3510942459106445,0,,
999,4.608264446258545,0,,
1049,4.75114107131958,0,,
1099,4.749968528747559,0,,
1149,4.751159191131592,0,,
1199,4.745883941650391,0,,
1249,4.751155376434326,0,,
1299,4.639660358428955,0,,
1349,4.695577621459961,0,,
1399,4.465445041656494,0,,
1449,4.529073715209961,0,,
1499,4.679689884185791,0,,
1549,4.629976749420166,0,,
1599,4.440805435180664,0,,
1649,4.751158714294434,0,,
1699,4.751157760620117,0,,
1749,4.747897148132324,0,,
1799,4.747250556945801,0,,
1849,4.751113414764404,0,,
1899,4.7511515617370605,0,,
1949,4.751158714294434,0,,
1999,4.741590976715088,0,,
2049,4.747841835021973,0,,
2099,4.747260093688965,0,,
2149,4.750030517578125,0,,
2199,4.4636359214782715,0,,
2249,4.751159191131592,0,,
2299,4.746842861175537,0,,
2349,4.7487592697143555,0,,
2399,4.751159191131592,0,,
2449,4.746387958526611,0,,
2499,4.750968933105469,0,,
2549,4.75111722946167,0,,
2599,4.645894527435303,0,,
2649,4.68060827255249,0,,
2699,4.751158714294434,0,,
2749,4.75016975402832,0,,
2799,4.751159191131592,0,,
2849,4.584497451782227,0,,
2899,4.748626708984375,0,,
2949,4.751159191131592,0,,
2999,4.745629787445068,0,,
3049,4.750232219696045,0,,
3099,4.751159191131592,0,,
3149,4.751159191131592,0,,
3199,4.751159191131592,0,,
3249,4.751159191131592,0,,
3299,4.7475433349609375,0,,
3349,4.751159191131592,0,,
3399,4.515865325927734,0,,
3449,4.751159191131592,0,,
3499,4.655063629150391,0,,
3549,4.74629020690918,0,,
3599,4.667826175689697,0,,
3649,4.640048027038574,0,,
3699,4.658130645751953,0,,
3749,4.751159191131592,0,,
3799,4.745234489440918,0,,
3849,4.6132917404174805,0,,
3899,4.750279903411865,0,,
3949,4.751159191131592,0,,
3999,4.751159191131592,0,,
4049,4.751158237457275,0,,
4099,4.417825698852539,0,,
4149,4.501159191131592,0,,
4199,4.751156806945801,0,,
4249,4.735012531280518,0,,
4299,4.617825984954834,0,,
4349,4.751159191131592,0,,
4399,4.751158714294434,0,,
4449,4.751158714294434,0,,
4499,4.626159191131592,0,,
4549,4.751159191131592,0,,
4599,4.751159191131592,0,,
4649,4.749837398529053,0,,
4699,4.746763706207275,0,,
4749,4.454864978790283,0,,
4799,4.645895957946777,0,,
4849,4.465445041656494,0,,
4899,4.751159191131592,0,,
4949,4.751159191131592,0,,
4999,4.751158714294434,0,,
5049,4.733695983886719,0,,
5099,4.750218391418457,0,,
5149,4.745912075042725,0,,
5199,4.751159191131592,0,,
5249,4.671159267425537,0,,
5299,4.583101272583008,0,,
5349,4.751159191131592,0,,
5399,4.74834680557251,0,,
5449,4.751158714294434,0,,
5499,4.617825508117676,0,,
5549,4.751158714294434,0,,
5599,4.74801778793335,0,,
5649,4.450187683105469,0,,
5699,4.35115909576416,0,,
5749,4.747685432434082,0,,
5799,4.745731830596924,0,,
5849,4.35115909576416,0,,
5899,4.736205101013184,0,,
5949,4.746197700500488,0,,
5999,4.736250877380371,0,,
6049,4.528161525726318,0,,
6099,4.664202690124512,0,,
6149,4.751158714294434,0,,
6199,4.551159381866455,0,,
6249,4.751159191131592,0,,
6299,4.746046543121338,0,,
6349,4.751159191131592,0,,
6399,4.751159191131592,0,,
6449,4.751159191131592,0,,
6499,4.674236297607422,0,,
6549,4.751159191131592,0,,
6599,4.751159191131592,0,,
6649,4.749802112579346,0,,
6699,4.751159191131592,0,,
6749,4.582859039306641,0,,
6799,4.74429178237915,0,,
6849,4.751157760620117,0,,
6899,4.751159191131592,0,,
6949,4.604610919952393,0,,
6999,4.745161533355713,0,,
7049,4.746525287628174,0,,
7099,4.751159191131592,0,,
7149,4.744287014007568,0,,
7199,4.6335530281066895,0,,
7249,4.751158714294434,0,,
7299,4.549048900604248,0,,
7349,4.751158714294434,0,,
7399,4.597313404083252,0,,
7449,4.578745365142822,0,,
7499,4.737646102905273,0,,
7549,4.751159191131592,0,,
7599,4.551158905029297,0,,
7649,4.251158714294434,0,,
7699,4.4784321784973145,0,,
7749,4.5844902992248535,0,,
7799,4.751159191131592,0,,
7849,4.7427473068237305,0,,
7899,4.7411699295043945,0,,
7949,4.751159191131592,0,,
7999,4.540632724761963,0,,
8049,4.551159381866455,0,,
8099,4.751159191131592,0,,
8149,4.751159191131592,0,,
8199,4.682193279266357,0,,
8249,4.751159191131592,0,,
8299,4.745603084564209,0,,
8349,4.528936862945557,0,,
8399,4.751159191131592,0,,
8449,4.751159191131592,0,,
8499,4.747027397155762,0,,
8549,4.751159191131592,0,,
8599,4.667826175689697,0,,
8649,4.749350547790527,0,,
8699,4.560683250427246,0,,
8749,4.748028755187988,0,,
8799,4.751159191131592,0,,
8849,4.569337368011475,0,,
8899,4.751158714294434,0,,
8949,4.515865325927734,0,,
8999,4.599640846252441,0,,
9049,4.513473987579346,0,,
9099,4.751159191131592,0,,
9149,4.745055198669434,0,,
9199,4.65592098236084,0,,
9249,4.744328498840332,0,,
9299,4.751159191131592,0,,
9349,4.567512035369873,0,,
9399,4.7487592697143555,0,,
9449,4.751159191131592,0,,
9499,4.751159191131592,0,,
9549,4.751159191131592,0,,
9599,4.501159191131592,0,,
9649,4.660250186920166,0,,
9699,4.751157283782959,0,,
9749,4.751159191131592,0,,
9799,4.651159286499023,0,,
9849,4.751158714294434,0,,
9899,4.692335605621338,0,,
9949,4.751159191131592,0,,
9999,4.751159191131592,0,,
10049,4.751159191131592,0,,
